edition,book,letter,date,location,location_lat,location_long,location_count,topo_id,topo_count
phi0474.phi056.perseus-lat1,6,3,709,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,6,4,709,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,6,5,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,6,6,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,6,7,708,,,,91,,0
phi0474.phi056.perseus-lat1,6,8,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,6,9,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,6,10,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,6,11,709,,,,91,,0
phi0474.phi056.perseus-lat1,6,12,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,6,13,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,6,14,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,6,15,710,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,6,16,710,,,,91,,0
phi0474.phi056.perseus-lat1,6,17,710,,,,91,,0
phi0474.phi056.perseus-lat1,6,18,709,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,6,19,709,Astura,41.408855,12.765272,6,37,27
phi0474.phi056.perseus-lat1,6,20,709,Astura,41.408855,12.765272,6,37,27
phi0474.phi056.perseus-lat1,6,21,709,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,6,22,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,7,1,699,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,7,2,703,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,7,3,698,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,7,4,708,,,,91,,0
phi0474.phi056.perseus-lat1,7,5,700,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,7,6,700,,,,91,,0
phi0474.phi056.perseus-lat1,7,7,700,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,7,8,700,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,7,9,700,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,7,10,700,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,7,11,701,,,,91,,0
phi0474.phi056.perseus-lat1,7,12,701,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,7,13,701,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,7,14,701,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,7,15,701,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,7,16,700,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,7,17,700,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,7,18,701,,,,91,,0
phi0474.phi056.perseus-lat1,7,19,710,,,,91,,0
phi0474.phi056.perseus-lat1,7,20,710,Velia,40.160744,15.155092,1,,0
phi0474.phi056.perseus-lat1,7,21,710,,,,91,,0
phi0474.phi056.perseus-lat1,7,22,710,,,,91,,0
phi0474.phi056.perseus-lat1,7,23,692,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,7,24,709,,,,91,,0
phi0474.phi056.perseus-lat1,7,25,709,,,,91,,0
phi0474.phi056.perseus-lat1,7,26,708,,,,91,,0
phi0474.phi056.perseus-lat1,7,27,702,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,7,28,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,7,29,709,Patra,38.248795,21.734916,2,,0
phi0474.phi056.perseus-lat1,7,30,710,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,7,31,710,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,7,32,704,Laudicea,37.5,29.06,14,38,15
phi0474.phi056.perseus-lat1,7,33,708,,,,91,,0
phi0474.phi056.perseus-lat1,8,1,703,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,8,2,703,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,8,3,703,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,8,4,703,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,8,5,703,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,8,6,704,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,8,7,704,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,8,8,703,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,8,9,703,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,8,10,703,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,8,11,704,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,8,12,704,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,8,13,704,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,8,14,704,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,8,15,705,,,,91,,0
phi0474.phi056.perseus-lat1,8,16,705,Intimilium,43.47,7.36,1,,0
phi0474.phi056.perseus-lat1,8,17,706,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,9,1,707,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,9,2,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,9,3,,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,9,4,708,,,,91,,0
phi0474.phi056.perseus-lat1,9,5,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,9,6,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,9,7,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,9,8,709,,,,91,,0
phi0474.phi056.perseus-lat1,9,9,706,Caesars,,,1,,0
phi0474.phi056.perseus-lat1,9,10,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,9,11,709,Attici Ficuleano house,,,3,,0
phi0474.phi056.perseus-lat1,9,12,709,,,,91,,0
phi0474.phi056.perseus-lat1,9,13,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,9,14,710,,,,91,,0
phi0474.phi056.perseus-lat1,9,15,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,9,16,708,,,,91,,0
phi0474.phi056.perseus-lat1,9,17,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,9,18,708,,,,91,,0
phi0474.phi056.perseus-lat1,9,19,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,9,20,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,9,21,708,,,,91,,0
phi0474.phi056.perseus-lat1,9,22,709,,,,91,,0
phi0474.phi056.perseus-lat1,9,23,708,,,,91,,0
phi0474.phi056.perseus-lat1,9,24,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,9,25,,Laudicea,37.5,29.06,14,38,15
phi0474.phi056.perseus-lat1,9,26,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,10,1,710,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,10,2,710,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,10,3,710,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,10,4,710,,,,91,,0
phi0474.phi056.perseus-lat1,10,5,710,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,10,6,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,10,7,711,,,,91,,0
phi0474.phi056.perseus-lat1,10,8,711,,,,91,,0
phi0474.phi056.perseus-lat1,10,9,711,Narbonensium,,,1,,0
phi0474.phi056.perseus-lat1,10,10,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,10,11,711,,,,91,,0
phi0474.phi056.perseus-lat1,10,12,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,10,13,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,10,14,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,10,15,711,Narbonenss,,,1,,0
phi0474.phi056.perseus-lat1,10,16,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,10,17,711,Lepidus,,,1,,0
phi0474.phi056.perseus-lat1,10,18,711,Voconium,,,1,,0
phi0474.phi056.perseus-lat1,10,19,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,10,20,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,10,21,711,,,,91,,0
phi0474.phi056.perseus-lat1,10,21a,,,,,91,,0
phi0474.phi056.perseus-lat1,10,22,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,10,23,711,,,,91,,0
phi0474.phi056.perseus-lat1,10,24,711,,,,91,,0
phi0474.phi056.perseus-lat1,10,25,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,10,26,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,10,27,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,10,28,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,10,29,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,10,30,711,,,,91,,0
phi0474.phi056.perseus-lat1,10,31,711,Corduba,37.884683,-4.779171,3,,0
phi0474.phi056.perseus-lat1,10,32,711,Corduba,37.884683,-4.779171,3,,0
phi0474.phi056.perseus-lat1,10,33,711,Corduba,37.884683,-4.779171,3,,0
phi0474.phi056.perseus-lat1,10,34,711,,,,91,,0
phi0474.phi056.perseus-lat1,10,34a,711,,,,91,,0
phi0474.phi056.perseus-lat1,10,35,711,,,,91,,0
phi0474.phi056.perseus-lat1,11,1,710,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,11,2,710,Lanuvium,41.674703,12.697593,1,,0
phi0474.phi056.perseus-lat1,11,3,710,Neapolium,40.5,14.15,1,,0
phi0474.phi056.perseus-lat1,11,4,710,,,,91,,0
phi0474.phi056.perseus-lat1,11,5,710,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,11,6,710,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,11,7,710,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,11,8,,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,11,9,711,Regium,38.110708,15.647027,1,17,1
phi0474.phi056.perseus-lat1,11,10,711,Dertona,44.897171,8.865452,1,42,4
phi0474.phi056.perseus-lat1,11,11,711,,,,91,,0
phi0474.phi056.perseus-lat1,11,12,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,11,13,711,Pollentia,44.686768,7.895976,1,,0
phi0474.phi056.perseus-lat1,11,13a,711,,,,91,,0
phi0474.phi056.perseus-lat1,11,13b,711,Parma,44.801507,10.327967,1,42,4
phi0474.phi056.perseus-lat1,11,14,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,11,15,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,11,16,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,11,17,,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,11,18,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,11,19,711,Vercells,,,1,,0
phi0474.phi056.perseus-lat1,11,20,711,Eporedia,45.466604,7.875942,2,42,4
phi0474.phi056.perseus-lat1,11,21,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,11,22,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,11,23,711,Eporedia,45.466604,7.875942,2,42,4
phi0474.phi056.perseus-lat1,11,24,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,11,25,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,11,26,711,,,,91,,0
phi0474.phi056.perseus-lat1,11,27,710,,,,91,,0
phi0474.phi056.perseus-lat1,11,28,,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,11,29,710,,,,91,,0
phi0474.phi056.perseus-lat1,12,1,710,,,,91,,0
phi0474.phi056.perseus-lat1,12,2,710,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,12,3,710,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,12,4,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,12,5,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,12,6,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,12,7,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,12,8,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,12,9,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,12,10,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,12,11,711,Tadolics,,,1,,0
phi0474.phi056.perseus-lat1,12,12,711,,,,91,,0
phi0474.phi056.perseus-lat1,12,13,711,,,,91,,0
phi0474.phi056.perseus-lat1,12,14,711,Perga,36.57,30.51,2,6,2
phi0474.phi056.perseus-lat1,12,15,711,Perga,36.57,30.51,2,6,2
phi0474.phi056.perseus-lat1,12,16,710,Athens,37.98,23.73,8,20,8
phi0474.phi056.perseus-lat1,12,17,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,12,18,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,12,19,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,12,20,710,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,12,21,710,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,12,22,710,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,12,22a,710,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,12,23,710,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,12,24,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,12,25,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,12,25a,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,12,26,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,12,27,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,12,28,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,12,29,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,12,30,711,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,1,703,Athens,37.98,23.73,8,20,8
phi0474.phi056.perseus-lat1,13,2,702,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,3,702,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,4,709,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,5,709,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,6,698,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,6a,,,,,91,,0
phi0474.phi056.perseus-lat1,13,7,709,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,8,709,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,9,704,Tarsium,,,5,,0
phi0474.phi056.perseus-lat1,13,10,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,11,,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,12,,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,13,,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,14,,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,15,709,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,16,,,,,91,,0
phi0474.phi056.perseus-lat1,13,17,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,18,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,19,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,20,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,21,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,22,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,23,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,24,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,25,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,26,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,27,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,28,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,28a,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,29,707,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,30,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,31,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,32,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,33,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,34,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,35,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,36,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,37,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,38,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,39,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,40,699,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,41,696,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,42,696,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,43,696,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,44,696,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,45,,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,46,,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,47,703,,,,91,,0
phi0474.phi056.perseus-lat1,13,48,707,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,159,707,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,50,710,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,51,698,,,,91,,0
phi0474.phi056.perseus-lat1,13,52,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,53,704,,,,91,,0
phi0474.phi056.perseus-lat1,13,54,704,Laudicea,37.5,29.06,14,38,15
phi0474.phi056.perseus-lat1,13,55,,,,,91,,0
phi0474.phi056.perseus-lat1,13,56,,,,,91,,0
phi0474.phi056.perseus-lat1,13,57,704,Laudicea,37.5,29.06,14,38,15
phi0474.phi056.perseus-lat1,13,58,704,Laudicea,37.5,29.06,14,38,15
phi0474.phi056.perseus-lat1,13,59,704,Laudicea,37.5,29.06,14,38,15
phi0474.phi056.perseus-lat1,13,60,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,61,,,,,91,,0
phi0474.phi056.perseus-lat1,13,62,,,,,91,,0
phi0474.phi056.perseus-lat1,13,63,704,Laudicea,37.5,29.06,14,38,15
phi0474.phi056.perseus-lat1,13,64,,,,,91,,0
phi0474.phi056.perseus-lat1,13,65,,,,,91,,0
phi0474.phi056.perseus-lat1,13,66,709,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,67,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,68,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,69,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,70,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,71,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,72,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,73,,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,74,,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,75,702,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,76,,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,77,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,78,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,13,79,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,14,1,706,Dyrrhachium,41.314409,19.447355,4,,0
